"row.names","Stationsnät"
"2019-01-01 06:00:01","46.2"
"2019-02-01 06:00:01","93.1"
"2019-03-01 06:00:01","119.0"
"2019-04-01 06:00:01","22.7"
"2019-05-01 06:00:01","57.8"
"2019-06-01 06:00:01","62.5"
"2019-07-01 06:00:01","38.8"
"2019-08-01 06:00:01","133.6"
"2019-09-01 06:00:01","109.5"
"2019-10-01 06:00:01","105.5"
"2019-11-01 06:00:01","103.4"
"2019-12-01 06:00:01","87.9"
"2020-01-01 06:00:01","92.8"
"2020-02-01 06:00:01","120.1"
"2020-03-01 06:00:01","63.0"
"2020-04-01 06:00:01","27.9"
"2020-05-01 06:00:01","20.4"
"2020-06-01 06:00:01","56.4"
"2020-07-01 06:00:01","99.4"
"2020-08-01 06:00:01","40.4"
"2020-09-01 06:00:01","100.7"
"2020-10-01 06:00:01","145.1"
"2020-11-01 06:00:01","98.1"
"2020-12-01 06:00:01","105.6"
"2021-01-01 06:00:01","57.8"
"2021-02-01 06:00:01","36.7"
"2021-03-01 06:00:01","54.3"
"2021-04-01 06:00:01","22.1"
"2021-05-01 06:00:01","82.6"
"2021-06-01 06:00:01","23.4"
"2021-07-01 06:00:01","179.1"
"2021-08-01 06:00:01","34.9"
"2021-09-01 06:00:01","70.7"
"2021-10-01 06:00:01","153.5"
"2021-11-01 06:00:01","66.7"
"2021-12-01 06:00:01","32.3"
"2022-01-01 06:00:01","42.3"
"2022-02-01 06:00:01","109.1"
"2022-03-01 06:00:01","4.3"
"2022-04-01 06:00:01","26.6"
"2022-05-01 06:00:01","48.5"
"2022-06-01 06:00:01","49.5"
"2022-07-01 06:00:01","68.6"
"2022-08-01 06:00:01","53.5"
"2022-09-01 06:00:01","55.0"
"2022-10-01 06:00:01","95.0"
"2022-11-01 06:00:01","60.7"
"2022-12-01 06:00:01","98.8"
"2023-01-01 06:00:01","120.3"
"2023-02-01 06:00:01","53.2"
"2023-03-01 06:00:01","115.0"
"2023-04-01 06:00:01","32.6"
"2023-05-01 06:00:01","23.9"
"2023-06-01 06:00:01","28.3"
"2023-07-01 06:00:01","221.8"
"2023-08-01 06:00:01","152.0"
"2023-09-01 06:00:01","63.2"
"2023-10-01 06:00:01","114.1"
"2023-11-01 06:00:01","42.2"
"2024-01-01 06:00:01","123.5"
"2024-02-01 06:00:01","138.0"
"2024-05-01 06:00:01","62.1"
"2024-06-01 06:00:01","104.4"
"2024-07-01 06:00:01","101.9"
"2024-08-01 06:00:01","135.4"
"2024-09-01 06:00:01","80.6"
"2024-10-01 06:00:01","39.9"
